UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,BASE_ID,QUOTE_ID,TRANSFORM_FUNCTION,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN,datetime
HOUR,1694689200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26334.44,26489.5,26331.0,26446.15,1694689200,1694692799,26333.12,26489.5,1694692592,26331.0,1694689878,26446.15,34333,17687,16646,0,1962.76407,51796505.7738829,1024.87916,27044927.4735982,937.88491,24751578.3002847,0,0,2023-09-14 11:00:00+00:00
HOUR,1694692800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26446.15,26592.95,26342.08,26458.68,1694692800,1694696399,26446.16,26592.95,1694693775,26342.08,1694694858,26458.68,59919,28982,30937,0,3253.62976,86044316.9343637,1745.91372,46180008.779849,1507.71604,39864308.1545147,0,0,2023-09-14 12:00:00+00:00
HOUR,1694696400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26458.68,26766.0,26458.67,26582.42,1694696400,1694699999,26458.67,26766.0,1694698286,26458.67,1694696402,26582.42,90725,44177,46548,0,5419.62111,144237076.047766,2710.28216,72127565.1583009,2709.33895,72109510.8894731,0,0,2023-09-14 13:00:00+00:00
HOUR,1694700000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26582.42,26750.0,26528.24,26731.4,1694700000,1694703599,26597.28,26750.0,1694703396,26528.24,1694700315,26731.4,52678,27038,25640,0,2692.29578,71706972.7446228,1416.61051,37734010.2839032,1275.68527,33972962.4607196,0,0,2023-09-14 14:00:00+00:00
HOUR,1694703600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26731.4,26798.5,26583.63,26693.97,1694703600,1694707199,26732.63,26798.5,1694703635,26583.63,1694705377,26693.97,49464,24085,25379,0,3060.58559,81588521.2192486,1543.73885,41159271.8923915,1516.84674,40429249.3268571,0,0,2023-09-14 15:00:00+00:00
HOUR,1694707200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26693.97,26731.21,26546.6,26621.67,1694707200,1694710799,26693.97,26731.21,1694707499,26546.6,1694709574,26621.67,36704,16248,20456,0,1696.25863,45171817.7667365,750.06655,19974689.2049757,946.19208,25197128.5617608,0,0,2023-09-14 16:00:00+00:00
HOUR,1694710800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26621.67,26680.0,26569.65,26645.63,1694710800,1694714399,26621.68,26680.0,1694711413,26569.65,1694712154,26645.63,26803,13115,13688,0,1226.04755,32635518.2541762,632.07265,16827015.6861468,593.9749,15808502.5680294,0,0,2023-09-14 17:00:00+00:00
HOUR,1694714400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26645.63,26860.49,26581.0,26581.0,1694714400,1694717999,26652.59,26860.49,1694716600,26581.0,1694717999,26581.0,45746,23083,22663,0,1991.36536,53164419.545681,1014.11335,27077808.5858926,977.25201,26086610.9597884,0,0,2023-09-14 18:00:00+00:00
HOUR,1694718000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26581.0,26682.87,26558.0,26678.14,1694718000,1694721599,26581.01,26682.87,1694721533,26558.0,1694718086,26678.14,25099,12428,12671,0,881.15091,23459357.8557863,488.44121,13004273.5161333,392.7097,10455084.339653,0,0,2023-09-14 19:00:00+00:00
HOUR,1694721600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26678.14,26723.64,26558.02,26568.72,1694721600,1694725199,26678.14,26723.64,1694721712,26558.02,1694724586,26568.72,23470,10330,13140,0,892.91097,23768358.8671009,410.61912,10933113.0809036,482.29185,12835245.7861973,0,0,2023-09-14 20:00:00+00:00
HOUR,1694725200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26568.72,26622.03,26473.0,26534.84,1694725200,1694728799,26568.72,26622.03,1694725539,26473.0,1694728071,26534.84,22681,9601,13080,0,800.76998,21268162.3535523,326.13737,8662233.6101779,474.63261,12605928.7433744,0,0,2023-09-14 21:00:00+00:00
HOUR,1694728800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26534.84,26620.29,26510.0,26601.15,1694728800,1694732399,26534.84,26620.29,1694730288,26510.0,1694728928,26601.15,18635,9933,8702,0,637.4478,16941116.8427376,326.9677,8688878.1070217,310.4801,8252238.7357159,0,0,2023-09-14 22:00:00+00:00
HOUR,1694732400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26601.15,26628.76,26497.07,26522.73,1694732400,1694735999,26601.15,26628.76,1694733309,26497.07,1694734916,26522.73,19198,8324,10874,0,661.84997,17575661.3398285,266.15607,7066549.0054831,395.6939,10509112.3343454,0,0,2023-09-14 23:00:00+00:00
HOUR,1694736000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26522.73,26560.0,26470.0,26481.44,1694736000,1694739599,26522.74,26560.0,1694738753,26470.0,1694737358,26481.44,23529,11545,11984,0,788.04092,20893651.300526,370.18746,9816019.4604731,417.85346,11077631.8400529,0,0,2023-09-15 00:00:00+00:00
